[2018-11-28 14:34:15,998] INFO  - 服务初始化中！
[2018-11-28 14:34:16,024] INFO  - 测试接口是否联通？
[2018-11-28 14:34:16,661] INFO  - 接口正常！
[2018-11-28 14:34:16,661] INFO  - 服务启动...
[2018-11-28 14:34:17,879] INFO  - 开始检索打印数据...
[2018-11-28 14:34:18,157] INFO  - 暂无打印数据。。。
[2018-11-28 14:34:18,663] INFO  - 开始检索打印数据...
[2018-11-28 14:34:18,760] INFO  - 暂无打印数据。。。
[2018-11-28 14:34:19,663] INFO  - 开始检索打印数据...
[2018-11-28 14:34:19,780] INFO  - 暂无打印数据。。。
[2018-11-28 14:34:20,664] INFO  - 开始检索打印数据...
[2018-11-28 14:34:20,711] INFO  - 暂无打印数据。。。
[2018-11-28 14:34:21,665] INFO  - 开始检索打印数据...
[2018-11-28 14:34:21,693] INFO  - 暂无打印数据。。。
[2018-11-28 14:34:22,665] INFO  - 开始检索打印数据...
[2018-11-28 14:34:22,690] INFO  - 暂无打印数据。。。
[2018-11-28 14:34:23,666] INFO  - 开始检索打印数据...
[2018-11-28 14:34:23,690] INFO  - 暂无打印数据。。。
[2018-11-28 14:34:24,666] INFO  - 开始检索打印数据...
[2018-11-28 14:34:24,690] INFO  - 暂无打印数据。。。
[2018-11-28 14:34:25,666] INFO  - 开始检索打印数据...
[2018-11-28 14:34:25,691] INFO  - 暂无打印数据。。。
[2018-11-28 14:34:26,667] INFO  - 开始检索打印数据...
[2018-11-28 14:34:26,696] INFO  - 暂无打印数据。。。
[2018-11-28 14:34:27,668] INFO  - 开始检索打印数据...
[2018-11-28 14:34:27,693] INFO  - 暂无打印数据。。。
[2018-11-28 14:34:28,669] INFO  - 开始检索打印数据...
[2018-11-28 14:34:28,696] INFO  - 暂无打印数据。。。
[2018-11-28 14:34:29,670] INFO  - 开始检索打印数据...
[2018-11-28 14:34:29,694] INFO  - 暂无打印数据。。。
[2018-11-28 14:34:30,670] INFO  - 开始检索打印数据...
[2018-11-28 14:34:30,745] INFO  - 暂无打印数据。。。
[2018-11-28 14:34:31,671] INFO  - 开始检索打印数据...
[2018-11-28 14:34:31,697] INFO  - 暂无打印数据。。。
[2018-11-28 14:34:32,671] INFO  - 开始检索打印数据...
[2018-11-28 14:34:32,697] INFO  - 暂无打印数据。。。
[2018-11-28 14:34:33,672] INFO  - 开始检索打印数据...
[2018-11-28 14:34:33,699] INFO  - 暂无打印数据。。。
[2018-11-28 14:34:34,672] INFO  - 开始检索打印数据...
[2018-11-28 14:34:34,698] INFO  - 暂无打印数据。。。
[2018-11-28 14:34:35,673] INFO  - 开始检索打印数据...
[2018-11-28 14:34:35,698] INFO  - 暂无打印数据。。。
[2018-11-28 14:34:36,674] INFO  - 开始检索打印数据...
[2018-11-28 14:34:36,698] INFO  - 暂无打印数据。。。
[2018-11-28 14:34:37,675] INFO  - 开始检索打印数据...
[2018-11-28 14:34:37,700] INFO  - 暂无打印数据。。。
[2018-11-28 14:34:38,675] INFO  - 开始检索打印数据...
[2018-11-28 14:34:38,699] INFO  - 暂无打印数据。。。
[2018-11-28 14:34:39,676] INFO  - 开始检索打印数据...
[2018-11-28 14:34:39,703] INFO  - 暂无打印数据。。。
[2018-11-28 14:34:40,676] INFO  - 开始检索打印数据...
[2018-11-28 14:34:40,700] INFO  - 暂无打印数据。。。
[2018-11-28 14:34:41,677] INFO  - 开始检索打印数据...
[2018-11-28 14:34:41,704] INFO  - 暂无打印数据。。。
[2018-11-28 14:34:42,677] INFO  - 开始检索打印数据...
[2018-11-28 14:34:42,704] INFO  - 暂无打印数据。。。
[2018-11-28 14:34:43,678] INFO  - 开始检索打印数据...
[2018-11-28 14:34:43,702] INFO  - 暂无打印数据。。。
[2018-11-28 14:34:44,285] INFO  - 服务停止...
